City,Time
Accra,nie 12:00
Addis Ababa,nie 15:00
Adelaide *,nie 22:30
Algiers,nie 13:00
Almaty,nie 17:00
Amman,nie 15:00
Amsterdam,nie 13:00
Anadyr,pon 00:00
Anchorage *,nie 04:00
Ankara,nie 15:00
Antananarivo,nie 15:00
Asuncion,nie 09:00
Athens,nie 14:00
Atlanta *,nie 08:00
Auckland *,pon 01:00
Baghdad,nie 15:00
Bangkok,nie 19:00
Barcelona,nie 13:00
Beijing,nie 20:00
Beirut,nie 14:00
Belgrade,nie 13:00
Bengaluru,nie 17:30
Berlin,nie 13:00
Bogota,nie 07:00
Boston *,nie 08:00
Brasilia,nie 09:00
Brisbane,nie 22:00
Brussels,nie 13:00
Bucharest,nie 14:00
Budapest,nie 13:00
Buenos Aires,nie 09:00
Cairo,nie 14:00
Calgary *,nie 06:00
Canberra *,nie 23:00
Cape Town,nie 14:00
Caracas,nie 08:00
